ontology,subsystem,sensor,parameter,hrf_unit,hrf_minval,hrf_maxval,datasheet
/system/other/id,metsense,metsense,id,,,,"https://github.com/waggle-sensor/sensors"
/sensing/meteorology/pressure,metsense,bmp180,pressure,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/bmp180.pdf"
/sensing/meteorology/temperature,metsense,bmp180,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/bmp180.pdf"
/sensing/meteorology/humidity,metsense,hih4030,humidity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu4030.pdf"
/sensing/meteorology/humidity,metsense,htu21d,humidity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf"
/sensing/meteorology/temperature,metsense,htu21d,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf"
/sensing/physical/vibration,metsense,mma8452q,acceleration_x,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/mma8452q.pdf"
/sensing/physical/vibration,metsense,mma8452q,acceleration_y,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/mma8452q.pdf"
/sensing/physical/vibration,metsense,mma8452q,acceleration_z,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/mma8452q.pdf"
/sensing/meteorology/temperature,metsense,pr103j2,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/pr103j2.pdf"
/sensing/physical/sound_level,metsense,spv1840lr5h_b,intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/spv1840lr5h-b.pdf"
/sensing/meteorology/temperature,metsense,tmp112,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/tmp112.pdf"
/system/other/light,metsense,tsl250rd,intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/tsl250rd.pdf"
/sensing/meteorology/temperature,metsense,tsys01,temperature,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/tsys01.pdf"
/sensing/physical/light,lightsense,apds_9006_020,intensity,,,,"https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/apd9006020.pdf"
